# Corrector lens 2 glass transmission: H-K9L @ 5mm, internal only (no coating)
# Source: https://refractiveindex.info/?shelf=glass&book=CDGM-K&page=H-K9L
# Wavelength(nm) Throughput(0-1)
290 0.001572642543039
300 0.053618026183916
310 0.281391708472464
320 0.571069623088478
330 0.777856536219089
340 0.876586766082953
350 0.913183022583315
360 0.960635700078069
370 0.975248355586026
380 0.975248181256991
390 0.980159329917898
400 0.985089806602
420 0.985089482390054
440 0.985089750333803
460 0.98508999497816
480 0.98509021923554
500 0.985089187652015
550 0.985089750333803
600 0.98509021923554
650 0.985089663767354
700 0.985090071866399
800 0.990040032707772
900 0.990040119105067
1000 0.990040188222909
1200 0.990039773515931
1400 0.881096405231942
1600 0.936666864603678
1800 0.8027131138712
2000 0.603726482022357
2200 0.285032535691347
2400 0.179155993772467
