# Corrector lens 3 glass transmission: S-FPL53 @ 20mm, internal only (no coating)
# Source: https://www.oharacorp.com/pdf/S-FPL53.pdf
# Wavelength(nm) Throughput(0-1)
290 0.0144
300 0.0784
310 0.2601
320 0.5041
330 0.7225
340 0.861184
350 0.935089
360 0.970225
370 0.984064
380 0.992016
390 0.994009
400 0.992016
420 0.990025
440 0.990025
460 0.992016
480 0.994009
500 0.996004
550 0.998001
600 0.996004
650 0.994009
700 0.996004
800 0.996004
900 0.994009
1000 0.994009
1200 0.996004
1400 0.996004
1600 0.996004
1800 0.996004
2000 0.996004
2200 0.994009
2400 0.996004
