,sky_bright,sky_dark,sky_grey
300,5.847199603743223e-16,1.3125999357796764e-16,4.30850938843987e-16
301,5.772967849332735e-16,1.2935475645296861e-16,4.253143158526431e-16
302,5.698736094922248e-16,1.2744951932796959e-16,4.197776928612992e-16
303,5.624504340511762e-16,1.2554428220297056e-16,4.142410698699553e-16
304,5.550272586101274e-16,1.2363904507797153e-16,4.087044468786114e-16
305,5.476040831690787e-16,1.217338079529725e-16,4.031678238872675e-16
306,5.4018090772803e-16,1.198285708279735e-16,3.976312008959236e-16
307,5.327577322869813e-16,1.1792333370297447e-16,3.9209457790457973e-16
308,5.253345568459326e-16,1.1601809657797544e-16,3.8655795491323584e-16
309,5.179113814048839e-16,1.141128594529764e-16,3.8102133192189195e-16
310,5.104882059638352e-16,1.1220762232797738e-16,3.754847089305481e-16
311,5.030650305227865e-16,1.1030238520297838e-16,3.699480859392042e-16
312,4.956418550817378e-16,1.0839714807797935e-16,3.644114629478603e-16
313,4.882186796406891e-16,1.0649191095298032e-16,3.5887483995651643e-16
314,4.807955041996403e-16,1.0458667382798129e-16,3.5333821696517253e-16
315,4.733723287585917e-16,1.0268143670298226e-16,3.4780159397382864e-16
316,4.65949153317543e-16,1.0077619957798323e-16,3.4226497098248475e-16
317,4.585259778764942e-16,9.887096245298423e-17,3.3672834799114086e-16
318,4.511028024354455e-16,9.69657253279852e-17,3.3119172499979697e-16
319,4.436796269943968e-16,9.506048820298617e-17,3.256551020084531e-16
320,4.362564515533481e-16,9.315525107798714e-17,3.2011847901710923e-16
321,4.288332761122994e-16,9.125001395298811e-17,3.1458185602576534e-16
322,4.214101006712507e-16,8.934477682798908e-17,3.0904523303442145e-16
323,4.13986925230202e-16,8.743953970299008e-17,3.0350861004307755e-16
324,4.065637497891533e-16,8.553430257799105e-17,2.9797198705173366e-16
325,3.991405743481046e-16,8.362906545299202e-17,2.9243536406038977e-16
326,3.917173989070559e-16,8.172382832799299e-17,2.868987410690459e-16
327,3.8429422346600717e-16,7.981859120299396e-17,2.81362118077702e-16
328,3.768710480249585e-16,7.791335407799493e-17,2.758254950863581e-16
329,3.6944787258390976e-16,7.60081169529959e-17,2.702888720950142e-16
330,3.620246971428611e-16,7.41028798279969e-17,2.6475224910367036e-16
331,3.5460152170181235e-16,7.219764270299787e-17,2.5921562611232646e-16
332,3.4717834626076367e-16,7.029240557799884e-17,2.5367900312098257e-16
333,3.3975517081971494e-16,6.838716845299982e-17,2.481423801296387e-16
334,3.3233199537866625e-16,6.648193132800079e-17,2.426057571382948e-16
335,3.2490881993761757e-16,6.457669420300176e-17,2.370691341469509e-16
336,3.1748564449656884e-16,6.267145707800274e-17,2.31532511155607e-16
