# Sample bright sky spectra (moon phase = 97.63, moon alt = +12.22)
# Source: fxSKY.2004-01-09T01:55:30.850.fits (from http://www.eso.org/~fpatat/science/skybright/)
# Wavelength(nm) Flux(erg/s/cm2/A/arcsec2)
364.04163152947945 1.09327694e-16
364.3017377354197 1.0739688e-16
364.56184394135994 1.060489e-16
364.8219501473002 1.074835e-16
365.08205635324043 1.1268075e-16
365.3421625591807 1.2007739e-16
365.6022687651209 1.2616069e-16
365.8623749710612 1.2785416e-16
366.1224811770014 1.2684551e-16
366.38258738294167 1.2443401e-16
366.6426935888819 1.2304615e-16
366.90279979482216 1.2266125e-16
367.1629060007624 1.2096095e-16
367.42301220670265 1.1828938e-16
367.6831184126429 1.1636772e-16
367.94322461858314 1.1318555e-16
368.2033308245234 1.0973054e-16
368.46343703046364 1.1137057e-16
368.7235432364039 1.1532256e-16
368.98364944234413 1.1730103e-16
369.2437556482844 1.2183019e-16
369.5038618542246 1.2704095e-16
369.76396806016487 1.2583899e-16
370.0240742661051 1.2042888e-16
370.28418047204536 1.1561096e-16
370.5442866779856 1.1275426e-16
370.80439288392586 1.141859e-16
371.0644990898661 1.1794362e-16
371.32460529580635 1.1938632e-16
371.5847115017466 1.1494628e-16
371.84481770768684 1.1056841e-16
372.1049239136271 1.0679526e-16
372.36503011956734 1.04736934e-16
372.6251363255076 1.0636078e-16
372.88524253144783 1.0444127e-16
373.1453487373881 9.748512e-17
373.4054549433283 9.442945e-17
373.66556114926857 9.411645e-17
373.9256673552088 9.331544e-17
374.18577356114906 9.3644263e-17
374.4458797670893 9.2806846e-17
374.70598597302956 9.239318e-17
374.9660921789698 9.6325996e-17
375.22619838491005 1.01168265e-16
375.48630459085035 1.057973e-16
375.7464107967906 1.0947169e-16
376.00651700273085 1.0767457e-16
376.2666232086711 1.03865006e-16
376.52672941461134 1.0557567e-16
376.7868356205516 1.0991624e-16
377.04694182649183 1.1477859e-16
377.3070480324321 1.2047733e-16
377.5671542383723 1.2722272e-16
377.82726044431257 1.3221238e-16
378.0873666502528 1.3237411e-16
378.34747285619306 1.2835629e-16
378.6075790621333 1.2311346e-16
378.86768526807356 1.163484e-16
379.1277914740138 1.0809011e-16
379.38789767995405 1.0278215e-16
379.6480038858943 1.0329715e-16
379.90811009183454 1.0630295e-16
380.1682162977748 1.1021308e-16
380.42832250371504 1.1571476e-16
380.6884287096553 1.2004736e-16
380.94853491559553 1.1661815e-16
381.2086411215358 1.1048011e-16
381.468747327476 1.0438162e-16
381.72885353341627 9.628357e-17
381.9889597393565 8.847683e-17
382.24906594529676 8.2837685e-17
382.509172151237 7.87877e-17
382.76927835717726 7.5178125e-17
383.0293845631175 7.211546e-17
383.28949076905775 7.097944e-17
383.549596974998 7.142221e-17
383.80970318093824 7.582862e-17
