# Sample bright sky spectra (moon phase =  0.05, moon alt = -76.65)
# Source: fxSKY.2000-07-31T05:50:57.788.fits (from http://www.eso.org/~fpatat/science/skybright/)
# Wavelength(nm) Flux(erg/s/cm2/A/arcsec2)
364.2857783794394 8.780342e-18
364.54588458537967 8.284778e-18
364.8059907913199 7.711464e-18
365.06609699726016 7.475465e-18
365.3262032032004 7.408873e-18
365.58630940914065 7.558728e-18
365.8464156150809 7.657109e-18
366.10652182102115 7.641306e-18
366.3666280269614 7.425881e-18
366.62673423290164 7.049289e-18
366.8868404388419 6.7009893e-18
367.14694664478213 6.316376e-18
367.4070528507224 5.9600175e-18
367.6671590566626 5.6371457e-18
367.9272652626029 5.351342e-18
368.1873714685431 5.1813233e-18
368.44747767448337 5.115465e-18
368.7075838804236 5.151629e-18
368.96769008636386 5.328356e-18
369.2277962923041 5.6327526e-18
369.48790249824435 6.4164297e-18
369.7480087041846 7.160879e-18
370.00811491012485 7.665662e-18
370.2682211160651 7.975162e-18
370.52832732200534 8.025724e-18
370.7884335279456 7.7387106e-18
371.04853973388583 7.3961825e-18
371.3086459398261 7.006356e-18
371.5687521457663 6.5844036e-18
371.8288583517066 6.11064e-18
372.0889645576468 5.8735696e-18
372.34907076358706 5.75514e-18
372.6091769695273 6.061031e-18
372.86928317546756 6.6789487e-18
373.1293893814078 7.3104634e-18
373.38949558734805 8.1437205e-18
373.6496017932883 8.938291e-18
373.90970799922854 9.3484446e-18
374.1698142051688 9.196694e-18
374.42992041110904 8.868311e-18
374.6900266170493 8.309764e-18
374.95013282298953 7.67796e-18
375.2102390289298 7.332945e-18
375.47034523487 6.9620335e-18
375.7304514408103 6.677549e-18
375.9905576467506 6.3396102e-18
376.2506638526908 5.995289e-18
376.51077005863107 5.62881e-18
376.7708762645713 5.575076e-18
377.03098247051156 5.749029e-18
377.2910886764518 5.898798e-18
377.55119488239205 6.028108e-18
377.8113010883323 6.146354e-18
378.07140729427255 6.0330046e-18
378.3315135002128 5.8540573e-18
378.59161970615304 5.7435125e-18
378.8517259120933 5.8460225e-18
379.11183211803353 5.880989e-18
379.3719383239738 5.830552e-18
379.632044529914 5.724583e-18
379.8921507358543 5.619675e-18
380.1522569417945 5.39583e-18
380.41236314773477 5.1974785e-18
380.672469353675 5.3222467e-18
380.93257555961526 5.4406428e-18
381.1926817655555 5.734722e-18
381.45278797149575 5.9712837e-18
381.712894177436 6.1129847e-18
381.97300038337625 6.140499e-18
382.2331065893165 6.044129e-18
382.49321279525674 6.329522e-18
382.753319001197 7.069893e-18
383.01342520713723 7.6966004e-18
383.2735314130775 8.144943e-18
383.5336376190177 8.274585e-18
383.79374382495797 7.874957e-18
384.0538500308982 7.326222e-18
384.31395623683846 6.9730085e-18
384.5740624427787 6.7090494e-18
384.83416864871896 6.514109e-18
385.0942748546592 6.1967938e-18
385.35438106059945 5.8261838e-18
385.6144872665397 5.3440707e-18
385.87459347247994 5.1480433e-18
386.1346996784202 5.026333e-18
386.39480588436044 4.8898434e-18
386.6549120903007 4.7470092e-18
386.91501829624093 4.628823e-18
387.1751245021812 4.518655e-18
387.4352307081214 4.43126e-18
387.69533691406167 4.2978336e-18
387.9554431200019 4.2375888e-18
388.21554932594216 4.1626545e-18
388.4756555318824 3.9609635e-18
388.73576173782266 3.90029e-18
388.9958679437629 4.011185e-18
389.25597414970315 4.133326e-18
389.5160803556434 4.2681647e-18
389.77618656158364 4.5447267e-18
390.0362927675239 4.9248166e-18
390.29639897346414 5.543041e-18
390.5565051794044 6.217252e-18
390.81661138534463 6.7479587e-18
391.0767175912849 7.0458575e-18
391.3368237972251 7.0589956e-18
391.59693000316537 6.660865e-18
391.8570362091056 6.0395807e-18
392.11714241504586 5.493045e-18
392.3772486209861 5.0220054e-18
392.63735482692636 4.6083903e-18
392.8974610328666 4.2429497e-18
393.15756723880685 4.029565e-18
393.4176734447471 3.9790134e-18
393.67777965068734 4.3010885e-18
393.9378858566276 4.7966227e-18
394.19799206256783 5.2933744e-18
394.4580982685081 5.759159e-18
394.7182044744483 5.9906525e-18
394.9783106803886 5.8740784e-18
395.2384168863288 5.6385838e-18
395.49852309226907 5.4046563e-18
395.7586292982093 5.0792806e-18
396.01873550414956 4.749204e-18
396.2788417100898 4.348244e-18
396.53894791603005 3.929886e-18
396.7990541219703 3.6483814e-18
397.05916032791055 3.719058e-18
397.3192665338508 4.0720588e-18
397.57937273979104 4.5480967e-18
397.8394789457313 5.130359e-18
398.09958515167153 5.5229208e-18
398.3596913576118 5.601621e-18
398.619797563552 5.575621e-18
398.8799037694923 5.4892313e-18
399.1400099754325 5.35999e-18
399.40011618137277 5.3048528e-18
399.660222387313 5.30073e-18
399.92032859325326 5.317193e-18
400.1804347991935 5.44046e-18
400.44054100513375 5.7313765e-18
400.700647211074 6.160906e-18
400.96075341701425 6.459134e-18
401.2208596229545 6.6503956e-18
401.48096582889474 6.75618e-18
401.741072034835 6.7200347e-18
402.00117824077523 6.4634776e-18
402.2612844467155 6.203603e-18
402.5213906526557 6.0601965e-18
402.781496858596 5.928411e-18
403.0416030645362 5.7629628e-18
403.30170927047647 5.7581416e-18
403.5618154764167 5.8967634e-18
403.82192168235696 6.2233798e-18
404.0820278882972 6.5755093e-18
404.34213409423745 6.8992608e-18
404.6022403001777 7.143615e-18
404.86234650611794 7.1787366e-18
405.1224527120582 6.966527e-18
405.38255891799844 6.6567356e-18
405.6426651239387 6.5807334e-18
405.90277132987893 6.6155684e-18
406.1628775358192 6.8696287e-18
406.4229837417594 7.2537685e-18
406.68308994769967 7.5252425e-18
406.9431961536399 7.532073e-18
407.20330235958016 7.473264e-18
407.4634085655204 7.260683e-18
407.72351477146066 7.153663e-18
407.98362097740096 7.0224185e-18
408.2437271833412 6.981295e-18
408.50383338928145 6.8349806e-18
408.7639395952217 6.704762e-18
409.02404580116195 6.5096484e-18
409.2841520071022 6.3617208e-18
409.54425821304244 6.2090195e-18
409.80436441898263 5.9786245e-18
410.0644706249229 5.7510485e-18
410.3245768308631 5.6044113e-18
410.58468303680337 5.574025e-18
410.8447892427436 5.5351866e-18
411.10489544868386 5.6253927e-18
411.3650016546241 5.7469382e-18
411.62510786056436 5.7358536e-18
411.8852140665046 5.8281674e-18
412.14532027244485 6.0337176e-18
412.4054264783851 6.2103025e-18
412.66553268432534 6.3372966e-18
412.9256388902656 6.4668567e-18
413.18574509620584 6.5587825e-18
413.4458513021461 6.643194e-18
413.7059575080863 6.597942e-18
413.9660637140266 6.4510625e-18
