# Sample bright sky spectra (moon phase = 77.49, moon alt = +60.09)
# Source: fxSKY.2002-08-18T03:01:06.360.fits (from http://www.eso.org/~fpatat/science/skybright/)
# Wavelength(nm) Flux(erg/s/cm2/A/arcsec2)
364.2991855144495 7.485059e-17
364.55929172038975 7.341048e-17
364.81939792633 7.4204785e-17
365.07950413227024 7.7008596e-17
365.3396103382105 8.2098774e-17
365.59971654415074 8.69385e-17
365.859822750091 8.83421e-17
366.11992895603123 8.757561e-17
366.3800351619715 8.6427675e-17
366.6401413679117 8.4953196e-17
366.90024757385197 8.4637365e-17
367.1603537797922 8.3650056e-17
367.42045998573246 8.1677865e-17
367.6805661916727 8.0567114e-17
367.94067239761296 7.8455275e-17
368.2007786035532 7.5672514e-17
368.46088480949345 7.57081e-17
368.7209910154337 7.8181194e-17
368.98109722137394 7.976537e-17
369.2412034273142 8.228466e-17
369.50130963325444 8.595558e-17
369.7614158391947 8.649466e-17
370.02152204513493 8.310989e-17
370.2816282510752 7.9476446e-17
370.5417344570154 7.6778004e-17
370.80184066295567 7.703319e-17
371.0619468688959 7.939458e-17
371.32205307483616 8.084008e-17
371.5821592807764 7.8668066e-17
371.84226548671666 7.555932e-17
372.1023716926569 7.2729386e-17
372.36247789859715 7.052265e-17
372.6225841045374 7.122188e-17
372.88269031047764 7.083581e-17
373.1427965164179 6.6383924e-17
373.40290272235814 6.3373225e-17
373.6630089282984 6.327999e-17
373.9231151342386 6.226726e-17
374.1832213401789 6.2664914e-17
374.4433275461191 6.2020414e-17
374.70343375205937 6.1533946e-17
374.9635399579996 6.3533447e-17
375.22364616393986 6.7030475e-17
375.4837523698801 6.968205e-17
375.74385857582035 7.2909506e-17
376.0039647817606 7.2182474e-17
376.26407098770085 6.928506e-17
376.5241771936411 6.9216396e-17
376.78428339958134 7.2022695e-17
377.0443896055216 7.510195e-17
377.30449581146183 7.89569e-17
377.5646020174021 8.319917e-17
377.8247082233423 8.7066953e-17
378.0848144292826 8.785854e-17
378.3449206352228 8.5217186e-17
378.60502684116307 8.210119e-17
378.8651330471033 7.790161e-17
379.12523925304356 7.200952e-17
379.3853454589838 6.7623544e-17
379.64545166492405 6.745227e-17
379.9055578708643 6.934268e-17
380.16566407680455 7.150971e-17
380.4257702827448 7.4671453e-17
380.68587648868504 7.843365e-17
380.9459826946253 7.755149e-17
381.20608890056553 7.3164813e-17
381.4661951065058 6.915244e-17
381.726301312446 6.384055e-17
381.9864075183863 5.8652624e-17
382.2465137243265 5.462136e-17
382.50661993026677 5.185398e-17
382.766726136207 4.9372498e-17
383.02683234214726 4.7241274e-17
383.2869385480875 4.6151996e-17
383.54704475402775 4.6115825e-17
383.807150959968 4.806921e-17
384.06725716590825 5.2776218e-17
384.3273633718485 5.785113e-17
384.58746957778874 6.209343e-17
384.847575783729 6.623154e-17
385.10768198966923 6.6152625e-17
385.3677881956095 6.3303576e-17
385.6278944015497 5.983464e-17
385.88800060748997 5.996175e-17
386.1481068134302 6.068778e-17
386.40821301937046 6.138262e-17
386.6683192253107 6.1851954e-17
386.92842543125096 6.235093e-17
387.1885316371912 6.220077e-17
387.44863784313145 6.054285e-17
387.7087440490717 5.982476e-17
387.96885025501194 6.0548847e-17
388.2289564609522 5.9757896e-17
388.48906266689244 5.819246e-17
388.7491688728327 5.982084e-17
389.00927507877293 6.305935e-17
389.2693812847132 6.607981e-17
389.5294874906534 7.0116825e-17
389.78959369659367 7.30379e-17
390.0496999025339 7.2673514e-17
390.30980610847416 7.229844e-17
390.5699123144144 7.3618446e-17
390.83001852035466 7.5491474e-17
391.0901247262949 7.766501e-17
391.35023093223515 7.967198e-17
391.6103371381754 7.841502e-17
391.87044334411564 7.47826e-17
392.1305495500559 7.026631e-17
392.39065575599614 6.367526e-17
392.6507619619364 5.5209548e-17
392.91086816787663 4.642235e-17
393.1709743738169 3.9083616e-17
393.4310805797571 3.5483755e-17
393.69118678569737 3.7494112e-17
393.9512929916376 4.329874e-17
394.21139919757786 5.2111555e-17
394.4715054035181 6.104679e-17
394.73161160945835 6.745837e-17
394.9917178153986 7.153829e-17
395.25182402133885 7.473514e-17
395.5119302272791 7.510411e-17
395.77203643321934 7.158777e-17
396.0321426391596 6.508387e-17
396.29224884509983 5.62736e-17
396.5523550510401 4.677377e-17
396.8124612569803 4.0644945e-17
397.0725674629206 4.1051078e-17
397.3326736688608 4.6955834e-17
397.59277987480107 5.7325105e-17
397.8528860807413 6.8342324e-17
398.11299228668156 7.643743e-17
398.3730984926218 8.161905e-17
398.63320469856205 8.508819e-17
398.8933109045023 8.696967e-17
399.15341711044255 8.8424985e-17
399.4135233163828 8.925744e-17
399.67362952232304 9.0491e-17
399.9337357282633 9.1049127e-17
