# F116 camera window transmission
# Source: FLI
# Wavelength(nm) Throughput(0-1)
200 0.0081
225 0.704
250 0.275
275 0.134
300 0.66
325 0.433
350 0.367
375 0.579
400 0.876
425 0.984
450 0.983
475 0.9812
500 0.98709
525 0.99306
550 0.99438
575 0.99074
600 0.98792
625 0.98119
650 0.98129
675 0.98198
700 0.98051
725 0.98468
750 0.98616
775 0.98705
800 0.99235
825 0.99183
850 0.9943
875 0.98972
900 0.98884
925 0.98386
950 0.98018
975 0.97793
1000 0.97341
1025 0.96203
1050 0.96433
1075 0.91869
1100 0.91621
